drudgereport.com
buzzfeed.com
usatoday.com
huffingtonpost.com
breitbart.com
tmz.com
nypost.com
theblaze.com
dailykos.com
dailycaller.com
rt.com
infowars.com
talkingpointsmemo.com
wnd.com
thinkprogress.org
aljiazeera.com
facebook.com/OccupyDemocrats
newsweek.com
youtube.com/user/TheYoungTurks
